Code;Phenomenon
00;CAVOK
01;CAVOK
02;CAVOK
03;CAVOK
04;FU
05;HZ
06;DU
07;DU
08;DU
09;DU
10;BR
11;FG
12;FG
13;TS
14;SHRA
15;SHRA
16;SHRA
17;TS
18;SQ
19;FC
20;DZ
21;RA
22;SN
23;SN
24;FZRA
25;SHRA
26;SHSN
27;GR
28;FG
29;TS
30;DU
31;DU
32;DU
33;DU
34;DU
35;DU
36;DU
37;DU
38;DU
39;DU
40;FG
41;FG
42;FG
43;FG
44;FG
45;FG
46;FG
47;FG
48;FG
49;FG
50;DZ
51;DZ
52;DZ
53;DZ
54;DZ
55;DZ
56;DZ
57;DZ
58;RA
59;RA
60;RA
61;RA
62;RA
63;RA
64;RA
65;RA
66;FZRA
67;FZRA
68;SN
69;SN
70;SN
71;SN
72;SN
73;SN
74;SN
75;SN
76;SN
77;SN
78;SN
79;SNPL
80;SHRA
81;SHRA
82;SHRA
83;SHSN
84;SHSN
85;SHSN
86;SHSN
87;SHSNPL
88;SHSNPL
89;GR
90;GR
91;RA
92;RA
93;RA
94;SN
95;TSRA
96;GR
97;TSRA
98;TS
99;GR
